X,y
"""U.S. economic growth has sharply decelerated since early December. In the current macro environment, we recommend investors own stocks . ",-1
If you needed a sign that the global economy is not going along with the program .  The company's shares are down eight percent as earnings fell short for the .,-1
Many businesses are ill-equipped or unwilling to deal with opioid addiction even as it has driven up health costs and hurt productivity.,-1
"As U.S.-China Trade War Rages, Some Australian Farmers See an Opportunity",1
Video Games Impact the Economy More Than You Think,1
"Cargill, Bunge and other global traders have halted food supply deals with Iran because new U.S. sanctions have paralyzed banking systems required to secure payments, industry and Iranian government sources say.",-1
"SAN FRANCISCO — As the United States economy muddled along over the last few .  P/E, as stock analysts call it, is a measurement of a company's stock price .",-1
China's economy is getting sick. Will it infect America?,-1
Boeing Co wins $4.1 billion U.S. defense contract: Pentagon,1
"The huge mills along the Penobscot River roared virtually nonstop for more than a century, turning the dense Maine forests into paper and lifting the thousands of men who did the hot and often backbreaking work into the middle class.",-1
Stocks slide on renewed fears of a global economic slowdown,-1
Chinese Firms Put Cash to Work in Stocks,1
China's CDH targets raising $1 billion in venture capital arm: sources,1
Why some U.S. fund managers like China regardless of trade deal,1
"Onion farmers, consumers suffer as traders sit on stocks",-1
The economist Robert Shiller says the rise in housing prices is the third biggest since 1913. The biggest boom ended disastrously in 2006.,-1
US stocks suffer amid DC tumult; Dow has worst week in a decade,-1
Capital gains tax rates benefiting wealthy are protected by both parties,1
he standard future scenario in their computer projections showed positive growth in both the population and the economy until the mid-21st century,1
"Faced with mounting grain stocks, the food ministry has expedited the process of setting up modern grain silos with capacity of two million tonnes in the major .",1
Better economic data needed before Wall Street can rise back to all-time highs.,1
Taxes are rising. Regulation is tightening. State-run firms are ascendant. That could spell problems for a country where economic growth is slowing.,-1
"Dealmakers celebrating their third-strongest year on record are fretting 2019 will herald a steep drop in mergers and acquisitions worldwide, as market jitters and economic uncertainty take their toll.",-1
Markets Are Revealing the Sum of All Risks,-1
"When Designer Steel From Lapland Makes Sense, DespiteTariffs",-1
Audits and criminal referrals are down sharply since Congress cut the tax agency’s budget and management changed priorities.,-1
Chilling Davos: A Bleak Warning on Global Division and Debt,-1
"Looking back, there were seven outstanding recession-proof stocks that managed .  an idea about what qualities the market rewards in times of economic crisis.",-1
China services growth adds to economic revival hopes,1
Air France-KLM shares slump on surprise Dutch stake buy,-1
Dow closes down triple digits; stocks spooked by Fed statement on .,-1
"During its decades of rapid growth, China thrived by allowing once-suppressed private entrepreneurs to prosper, often at the expense of the old, inefficient state sector of the economy.",1
"Hong Kong and China stocks shot up Tuesday, after the Chinese .  and small enterprises amid a slowing economy and the US-China trade war. .  Geely Automobile, whose parent company also owns Sweden's Volvo Cars, . ",1
Giving a CEO too many stock options can make a company perform .,1
